name,mcg,gvh,lip,chg,aac,alm1,alm2,target
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
DCP_ECOLI,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
ADI_ECOLI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
EFTU_ECOLI,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp
TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
DGAL_ECOLI,0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
G3P1_ECOLI,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
DEOC_ECOLI,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp
PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp
NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp
USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
BTUB_ECOLI,0.56,0.68,0.48,0.5,0.77,0.36,0.45,om
PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
ENO_ECOLI,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
PAL_ECOLI,0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
NLPA_ECOLI,0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
